dátum;nagydíj;helyezés;befejezett_kör;pont;konstruktőr;Célba_ért;körhátrány;Hiba_oka
2006.07.16;Francia Nagydíj;5;70;4;McLaren;I;0;
2006.07.30;Német Nagydíj;3;67;6;McLaren;I;0;
2006.08.06;Magyar Nagydíj;;25;0;McLaren;N;;Ütközés
2006.08.27;Török Nagydíj;;1;0;McLaren;N;;Ütközés
2006.09.10;Olasz Nagydíj;2;53;8;McLaren;I;0;
2006.10.01;Kínai Nagydíj;;18;0;McLaren;N;;Gázkar
2006.10.08;Japán Nagydíj;5;53;4;McLaren;I;0;
2006.10.22;Brazil Nagydíj;5;71;4;McLaren;I;0;
2007.03.18;Ausztrál Nagydíj;1;58;10;Ferrari;I;0;
2007.04.08;Malajziai Nagydíj;3;56;6;Ferrari;I;0;
2007.04.15;Bahreini Nagydíj;3;57;6;Ferrari;I;0;
2007.05.13;Spanyol Nagydíj;;9;0;Ferrari;N;;Felfüggesztés
2007.05.27;Monacói Nagydíj;8;77;1;Ferrari;I;1;
2007.06.10;Kanadai Nagydíj;5;70;4;Ferrari;I;0;
2007.06.17;Egyesült Államok Nagydíja;4;73;5;Ferrari;I;0;
2007.07.01;Francia Nagydíj;1;70;10;Ferrari;I;0;
2007.07.08;Brit Nagydíj;1;59;10;Ferrari;I;0;
2007.07.22;Európai Nagydíj;;34;0;Ferrari;N;;Hidraulika
2007.08.05;Magyar Nagydíj;2;70;8;Ferrari;I;0;
2007.08.26;Török Nagydíj;2;58;8;Ferrari;I;0;
2007.09.09;Olasz Nagydíj;3;53;6;Ferrari;I;0;
2007.09.16;Belga Nagydíj;1;44;10;Ferrari;I;0;
2007.09.30;Japán Nagydíj;3;67;6;Ferrari;I;0;
2007.10.07;Kínai Nagydíj;1;56;10;Ferrari;I;0;
2007.10.21;Brazil Nagydíj;1;71;10;Ferrari;I;0;
2008.03.16;Ausztrál Nagydíj;8;53;1;Ferrari;N;;Motor
2008.03.23;Malajziai Nagydíj;1;56;10;Ferrari;I;0;
2008.04.06;Bahreini Nagydíj;2;57;8;Ferrari;I;0;
2008.04.27;Spanyol Nagydíj;1;66;10;Ferrari;I;0;
2008.05.11;Török Nagydíj;3;58;6;Ferrari;I;0;
2008.05.25;Monacói Nagydíj;9;76;0;Ferrari;I;0;
2008.06.08;Kanadai Nagydíj;;19;0;Ferrari;N;;Ütközés
2008.06.22;Francia Nagydíj;2;70;8;Ferrari;I;0;
2008.07.06;Brit Nagydíj;4;59;5;Ferrari;I;1;
2008.07.20;Német Nagydíj;6;67;3;Ferrari;I;0;
2008.08.03;Magyar Nagydíj;3;70;6;Ferrari;I;0;
2008.08.24;Európai Nagydíj;;45;0;Ferrari;N;;Motor
2008.09.07;Belga Nagydíj;18;42;0;Ferrari;N;;Kipördült
2008.09.14;Olasz Nagydíj;9;53;0;Ferrari;I;0;
2008.09.28;Szingapúri Nagydíj;15;57;0;Ferrari;N;;Baleset
2008.10.12;Japán Nagydíj;3;67;6;Ferrari;I;0;
2008.10.19;Kínai Nagydíj;3;56;6;Ferrari;I;0;
2008.11.02;Brazil Nagydíj;3;71;6;Ferrari;I;0;
2009.03.29;Ausztrál Nagydíj;15;55;0;Ferrari;N;;Differenciálmű
2009.04.05;Malajziai Nagydíj;14;31;0;Ferrari;I;1;
2009.04.19;Kínai Nagydíj;10;56;0;Ferrari;I;0;
2009.04.26;Bahreini Nagydíj;6;57;3;Ferrari;I;0;
2009.05.10;Spanyol Nagydíj;;17;0;Ferrari;N;;Hidraulika
2009.05.24;Monacói Nagydíj;3;78;6;Ferrari;I;0;
2009.06.07;Török Nagydíj;9;58;0;Ferrari;I;0;
2009.06.21;Brit Nagydíj;8;60;1;Ferrari;I;0;
2009.07.12;Német Nagydíj;;34;0;Ferrari;N;;Motor
2009.07.26;Magyar Nagydíj;2;70;8;Ferrari;I;0;
2009.08.23;Európai Nagydíj;3;57;6;Ferrari;I;0;
2009.08.30;Belga Nagydíj;1;44;10;Ferrari;I;0;
2009.09.13;Olasz Nagydíj;3;53;6;Ferrari;I;0;
2009.09.27;Szingapúri Nagydíj;10;61;0;Ferrari;I;0;
2009.10.04;Japán Nagydíj;4;53;5;Ferrari;I;0;
2009.10.18;Brazil Nagydíj;6;71;3;Ferrari;I;0;
2009.11.01;Abu-Dzabi Nagydíj;12;55;0;Ferrari;I;0;
2012.03.18;Ausztrál Nagydíj;7;58;6;Lotus F1;I;0;
